CodigoPersona,Clase,Tipo de derecho,Título de adquisición ,Municipio,% Participación,Fecha de adquisición,Valor catastral,Observaciones
1,Urbano,,,Madrid,5,,4081,78,
1,Urbano,,,Salamanca,50,1978,1128,47,
1,Urbano,,,Salamanca,50,1978,1839,13,
1,Urbano,,,Salamanca,50,1978,3617,72,
1,Urbano,,,Salamanca,50,1978,696,92,
1,Urbano,,,Salamanca,50,1978,1328,11,
1,Urbano,,,Salamanca,50,1978,900,35,
1,Urbano,,,Salamanca,50,1978,510,99,
1,Urbano,,,Salamanca,50,1978,1109,85,
1,Urbano,,,Salamanca,50,1978,17344,41,
1,Urbano,,,Salamanca,50,1978,1896,38,
1,Rústico,,,Salamanca,50,1978,17404,46,
1,Rústico,,,Salamanca,50,1978,51246,97,
2,Urbano,Pleno dominio,Compraventa,Madrid,50,2002,170584,9,
2,Urbano,Pleno dominio,Compraventa,Madrid,50,2002,14194,54,
2,Urbano,Pleno dominio,Compraventa,Madrid,50,2002,12010,73,
2,Rústico,Pleno dominio,Donación,Ciudad Real,20,1987,179981,
3,Urbano,Pleno dominio,Herencia,Madrid,10,2012,318705,
3,Urbano,Pleno dominio,Herencia,Madrid,5,2012,252111,
3,Urbano,Pleno dominio,Compraventa,Madrid,100,2008,149593,
4,Urbano,,,Madrid,50,1998,273800,
4,Urbano,,,Segovia,50,1991,25800,
4,Urbano,,,Santander,100,2003,26548,
5,Urbano,Pleno dominio,,Madrid,50,01/07/2013,155168,Vivienda habitual
5,Urbano,Pleno dominio,,Madrid,100,01/02/2006,85705,Apartamento alquilado
5,Urbano,Pleno dominio,,Madrid,33,01/12/2003,122888,Vivienda materna
5,Urbano,Pleno dominio,,Cubelo de Sanabria (Zamora),100,01/04/1990,4472,Sótano bodega
5,,,,Cubelo de Sanabria (Zamora) Derechos sucesorios pendientes,,,,
6,Urbano,Pleno dominio,Compraventa,Madrid,100,05/04/2001,249255,
7,Urbano,Pleno dominio,Compraventa,Madrid,50,1995,178045,88,
7,Urbano,Derecho real de uso y disfrute,Compraventa,Madrid,100,1991,,Plaza P.A.R.
8,Urbano,Pleno dominio,Compraventa,Soto del Real,100,23/10/2001,61930,7,
8,Urbano,Nuda propiedad,Compraventa,Madrid,100,26/05/1998,,
8,Urbano,Pleno dominio,Donación,Cedeira (A Coruña),100,28/12/2015,29859,74,
9,Urbano,Pleno dominio,Herencia,Barcelona,33.3,1993,,
